Heading,Sentiment
I'm wishing I had more time ,Positive
@mycaricature The only bit that got me really was when he said Babs was a bad mum  I'm sure that hurts her even though she's laughing.,Negative
I am not wanting to go to school tomorrow. ,Neutral
Used the term &quot;Fail Whale&quot; to a client on a pitch last night. From their incomprehension corp twitter is being done much lower in the org ,Negative
@rootbeerfloats8 You hate Billy now?! ,Negative
On a 2-day work-week..fast-forward to Thursday please ,Positive
@snaprebelx omg i love that show. i would be so mad. i feel ur pain im sorry they spoiled it for u ,Negative
Is it possible to die from coughing? It SUCKS being ill ,Negative
cant believe i have to go all the way to Barnes for work today....instead of a 5minute walk to St Johns Wood ,Neutral
@paulieseow hahahahahah i can easily make ice milo but its just not the same ,Positive
why do both of my best friends have to be shitty simultaneously?  Can u at least take turns hurting my feelings? jerks..    going 2 sleep.,Positive
My #art is regressing... ,Neutral
@onlysweeter I don't know the dance. ,Neutral
@laurwee_boo im ok I guess had a hard day ,Positive
Jade is looking for a new home...  http://apps.facebook.com/dogbook/profile/view/4744827,Neutral
damnnn! i missed 11:11 ,Negative
"@sarahprout tweetfinder hates me  and I was having trouble with background on twitter,what do you think?",Negative
@Twilighter4Life lol yeh ill be studying  stupid uni. only 2 more weeks and im on holidays! YAY! plus my birthday next week woot,Positive
"@transbay &quot;SFMTA Budget Proposal Hearing: tomorrow, April 7 at 2:00 pm (City Hall, Room 400). Sadly, I cannot attend.&quot; Me neither. ",Negative
is afraid that her G.I. notes will not read themselves. ,Neutral
*Sigh* Rain??? Why did you decide to show up? Move away! You were not invited to the Tuesday-party  (this is not the start I hoped for),Negative
"_secretgarden_ I haven't gotten any porn spammers  I don't check my followers, but haven't had any tweets like that.",Positive
Somebody is selling the Japan only release of my first album on E Bay for $25. Damn thats it? A classic is worth more than that! ,Negative
@charleneli Disqus now integrates conversations on many platforms. haven't heard abt JS-Kit ,Neutral
and they advertising fake louis bags as 100% authentic on google  i'm pissed!,Negative
Can't sleep  dam naps lol... and its hot,Neutral
Why do I keep looking...I know that what I read is gonna hurt but I still look! I guess it's just a girl thing. ,Negative
"@henrygooden @oddchicken I went there about a month and a half ago, was still open then. Smelt really good, but I was getting sick ",Negative
is ready to go to bed..long day tomorrow ,Positive
job searching.....FYI: Yahoo HOT JOBS suck! .. im never going to find a job ,Negative
"No electricity today, so no tweets. ",Negative
@big_think Can Zack tell me how to edit my Bio/Profile? Why create a login at a different co's site to get an answer from BT TechHelp? ,Positive
"Morning all, starving and dying for a cuppa but can't cos off to docs for fasting blood test in a little while ",Negative
Very tired this morning - no idea why! Great start to the day ,Negative
"Morning All, I'm back from my little break from the computer. back to work again today ",Neutral
At mobilityvic.org launch.  No grog  nice video from PWC though,Positive
still no &quot;followers&quot;   please some1 inform me on how this works????,Positive
misses him right now. i need a hug ,Positive
Tried to get up earlier today........didn't work out ,Neutral
Omg revisions revisions revisions! I feel like I wasted an amazingly beautiful day today doing pointless work ,Positive
Foot is out of commission  ouch! Running this morning did not help...not smart.,Negative
"About to shower, which I hope will wake me up at last. Oh, and the synth experiments yielded nothing last night ",Positive
is really bored and really sleepy...and mad she can't find a custom lanyard maker that wont make me buy 1000000 minimum ,Negative
@cmykevin ooh nice! but williams sonoma already got to me. ,Positive
I've finally given in. Now at Malaysian restaurant waiting for nasi lemak and teh Tarik. Mereka tak faham bm...  http://twitpic.com/2y4bh,Neutral
Waitin 4 the theory test centre 2 open ,Neutral
"got woken up this mornng at 7am - damn Lorry , van and car accident just outside on our main road also causing car alarms to go off.  ",Negative
I think I need to get laid. Sad revolution I had earlier rofl ,Positive
@ourcitylight that was so sudden!! ,Neutral
Now i want Amanita  ...someone made me feel unliving.,Positive
@lanaRISQUE hahahahhha!! hows your food poisening going? has it gone away? ,Neutral
@MissxMarisa haven't heard from Hannah at all yet!! it's very disappointing ,Negative
@hutsoncap  everything alright?,Positive
is procrastinating... i feel ill.. but don't want to go to bed.  ,Negative
@danielhalpin Gonna try and find a sports bar to watch that at... not got a chance though I don't think ,Negative
wants to go home and watch The Hills ,Neutral
@sarmar I guess I'm out of funny ,Positive
@moethebeat aww moe! I was planning on leaving tomorrow evening  are you gonna be in town by chance?,Positive
"i wanna write, but i'm not cool enough to make up a storylineee. ",Negative
"@Gripping agreed! love the sound, but hates how everyone knows them ",Negative
@brendamew2 no art tomorrow.  and nice to see you've joined twitter!,Positive
"Sigh, I think my PMS is making my mind totally over-analyse things and making me sad ",Negative
@doriantaylor I had one outside my patio. I named him Rex. Then the gardner took him down. RIP Rex ,Neutral
Ooops. Just ate a panini from W-mart cold that says it needed to be thoroughly cooked. It didn't taste raw. I die nao from f. poisoning? ,Negative
Good morning for a very rainy France  No gardening for me today.,Neutral
"If ever there was a day for staying in bed, today is it ",Neutral
Got to take Cleo to the vets. Not sure what's wrong with her but she's feeling very sorry for herself. ,Neutral
"today is day 1 of my fast &amp; i feel i may break b4 i go 2 bed  i must hold out til the end of the wk! must stayed focused, wish me luck...",Positive
Extremely jealous... ,Neutral
@kimmyawesome Ohhhh that sucks  I love the summer set.,Positive
@daydee tell it you forgot your password &amp; it will give you a new one. it's the only way I can prevent tons of spam ,Negative
bedtime. wake up call at 7am ,Neutral
So glad I made it through work - with an extra hour too and my paycheck.  Still waiting on the one I lost though ,Positive
"Mum's been taken to hospital, they don't know what's wrong, she's been vomiting since yesterday. Rushing back to get to the hospital ",Positive
congested nose ,Neutral
Can't sleep. Need to talk to someone. ,Neutral
"@penalba por favor decime ke no estas involucrado en esa pagina nicatrolls, they're THE CANCER that's killing /b/ ",Negative
"too cold and tired to write good twitter. everyone was obeying the cops tonight, total dissappointment. we were so close ",Neutral
Lifee Gets Worsee &amp;&amp; Worsee ,Neutral
@dnwallace - I am shuddering and shaking too ,Negative
"Sorting brekkie for the kids then off to the horrible place called work, boohoo ",Negative
my condolences to natasha richardson's family ,Neutral
@LittleYellowJen what do don't think ily?? nawwww ,Negative
Where's Derrick  http://ff.im/-1XWXs,Neutral
Needs to stop sleeping all day.. Causes some problems when you're wide awake at 2:45am... ,Negative
missed today's ELLEN ,Negative
I suddenly miss my Flintstones vitamin tablets  SOOOO GOOOOD,Positive
@mattpro13 legitimately good cops out there ,Positive
@onlytosee Twitter's been doing that to me tooo. ,Neutral
@pealuh I think I need to go to Twitterholics Anonymous...... ,Neutral
@lizhenry we haven't heard from her or sha. ,Neutral
my heart has been broken. ,Negative
i forgot how to sleep ,Neutral
Morning everyone! In serious need of some decent coffee.. why isn't the catering open yet at 08.30? ,Negative
@mostazzza Im sorry I've failed you ,Negative
@CodaQueen oh wait he does have 1 in Oakland on the 18th. Can't understand why he only has 1 &amp; in Oakland ,Neutral
is missing talking to my bff on da phone!!!! ,Positive
wondering why I am so stupid  Need to eat more fish I guess *sigh*...,Negative
i miss my old friends from elementary ans middle school ,Positive
@twitter please fix this http://sp2.ro/5b7bdb because it brakes all external twitter avatar searches ,Positive
looks like i've missed out on yet another job  someone please employ me! Haha,Positive
"@tacce dang, I'll get HOUSE off iTunes. I hear it was a devastating episode ",Negative
Wow.... the shout box has kicked me out and I can't get back in. I guess this means good night ,Positive
Slideshare's embed code is annoying me.  Sorry about the tiny embed  #fail,Negative
@Flawless326 Why did my baby have to eat 3 prunes today and now he finally went ! My poor baby ,Negative
I'am bored. Nothing to do! ,Negative
morning all - 1st appointment of the day - the dentist ! ,Neutral
"@amyserrata he wrote most of the album, but ironically, the singles he did not write ",Neutral
Someone PLEASE take Gossip Girl away from me. I'm addicted ,Positive
good night swetdreamss to everyonee   and jared never chat in kyte puff ,Positive
Horrible sore throat  hurts,Negative
"Time to get dressed, I suppose...gah another workday ",Neutral
"Not to self: licking off pudding from a seafood fork, not so enjoyable as slowly licking off of a spoon ",Negative
All ready to go to the premier and just realized how under dressed I am ,Positive
It just makes me happy! over and over again. I wish I wan't afraid to fly  http://tinyurl.com/64skpp,Positive
@Eyrro awwwww bummerr...sorry missed it again ,Negative
Waking up to the sound of jackhammers is not a pleasant way to start the day. ,Negative
@almostcool i'm off now ,Neutral
"@jon8737 that just totally made my night, LMAO. They were like screaming at me and I couldn't focus on the 900 mph song ",Positive
Nevada is really long and the gas pumps are down   But on a good note I just won $5 in a slot machine!!  I love to gamble!!!,Positive
@amirrabennett nope. baby's due in 5th may! getting closer but still 1001 things not done ,Neutral
headache ,Neutral
is still effinggggg sick  when will i get better?! ughh,Negative
Still in bed and don�t want to do anything else. University is callung too loud ,Positive
seattle is in tents! i miss my T.O. peepz tho ,Negative
It just makes me happy! over and over again! I just wish I wasn't afraid to fly  http://tinyurl.com/64skpp,Positive
Errrggggg! My tummy hurts. ,Negative
"thought it would be interesting to get F1 updates from Twitter, slightly regretting the decision, I can't see anyone elses's updates ",Positive
ripped switcheasy colors ,Neutral
We failed that song ,Negative
 poor mel. Feeling your pain.,Negative
Ugh. still working on project  just taking a small break,Negative
The one day I have to go to school is the same day something exciting happens at parliament square ,Positive
@watko Shockingly not! ,Negative
"Today was a less interesting day on Twitter. @cboyack , @igeldard , and @iidiocracy were all kind of quiet today ",Positive
@CourtneyBrwn awww thanks.. i hate being sick ,Negative
VIP guests today -________-&quot;   blohheeee       I HATE it ,Negative
Up early ,Neutral
WHAT THE FUCK YOUKU  I WANT TO WATCH SKINS.,Negative
i forgot my phone in my car but i'm too scared to go outside and get it. ,Negative
I totally forgot we were going to do fisheye 2night   What u doing Thursday....  Btw.... I'm so late with the hills... LOL,Positive
totally shocked by the episode of house this eveing  Lost one of my favorite characters.,Negative
@offbytwo seeing a doctor i hope? ,Positive
didn't pass the first part of the CSET  I missed it by 5 effing points!,Negative
"@KevinPeterson the 2G cases were like that. But scratches don't void your warrenty, dents do... As I found out ",Positive
"I have chapped lips, boo ",Neutral
@ryleebeth ye im not  very sad...but weirdly enough shes lettin me go 2 da party?? how confusing parents r?? lol,Positive
@Kimboinlimbo no chance of that coming back when it'd be 20 mins faster than the Javelins though ,Negative
bored and lonely ,Negative
Back to classic rainy Amsterdam days ,Negative
feels like crying that's how sick i feel ,Negative
@Horrors_Wench Me toooooo! I feel like I've been on the verge of an anxiety attack all day.  ,Negative
"I woke up an hour ago ... Now I'm having a hard time going back to bed  in Lakewood, CA http://loopt.us/rywlHQ",Negative
Going to sleep with lily and rocki &lt;3 Johnathon is too busy watching batman movies  http://twitpic.com/2y4j5,Neutral
@gaspitsnicole sigh me too  mostly i midd hsnging out with my friends damn growing up : p,Positive
@mrskutcher *lol i wish i only had bad sync. in germany right now where the subtitles dont work at all.  lol,Positive
@AlyssaSpears I'm sorry.   Maybe walking around all goofy at the store would help...HINT HINT! &lt;3,Negative
@Contempted Did the heroics ever go through! If not sorry! ,Positive
im so tired this morning and there was only cold shower water!not happy ,Positive
"haha I've been with my grandma for 2 days. even she's about 5 houses away, I'll still miss her ",Positive
clearing my desk... ,Neutral
w/ every person there. I didn't get a pic  my phone died but he signed my shirt so amazing words cannot describe should've skipped mel lol,Positive
is crying inside. Please oh please let it rain  so warm.,Positive
@thecoolestout ,Neutral
"packing my overnight bag for tomorrow, going to the hospital ",Neutral
@gaspitsnicole sigh me too  mostly i miss hsnging out with my friends damn growing up : p oh yeah i miss being able to spell too lol,Positive
@Glavas lol.  U read my bio but spelt my name wrong           DARYLO ... Ahem ;),Negative
"Guten Morgen. Up and off to get ready to go to Phantasialand, Cologne. Yay! But booooo, last park of holiday ",Positive
@la_discoteca  i just saw this im sorry ,Negative
: @nikicheong just reminded me that #KrispyKreme http://www.krispykreme.com.my/ has landed in Msia and has an ugly website ,Negative
@guykawasaki  That's so sad for the goats.   Wa-ah-ah-ah-ah-ah!,Negative
watching the roadworks develop outside the office that'll make me late for the next 10 weeks  #fb,Neutral
at work  w asma3 nawal in fe obeerate alwatan TV,Neutral
I wish i could go 2 bed with out having 2 take an allergy pill. ,Positive
@khqrightnow I heard them making announcements trying to find them. The mother looked so worried. ,Negative
I have to work alone on Saturday    ...anyone wanna come keep me company? COUGH COUGH.,Negative
ok... maybe i'll sleep for an hour or two. Then I MUST rise to work on my thesis ,Neutral
goodd nightt  sweet dreams to everyonee   jared neveerr chat on kyte   lol,Positive
"@TiffinyHogg I heard Timewarp was fantastic! Gutted I missed it, was playing @ egg ",Positive
"Wishing it wasn't 245 in the morning.  sleeping is awesome, work is not, and I need to scrub my apt!",Positive
"@eileenb I had that a while back (http://tinyurl.com/dmukpr), and I know some other people that have too ",Neutral
@baf03 hi steven! man it's only been a week and i'm ALREADY behind on school work ,Neutral
@Weebeedee run was great thanks. Is very windy today so bike ride not an option this morning ,Positive
@aniita_0517 Yes i did. That's a sad topic for me! haha... I am not going to the concert... It's very far and probably very expensive  ,Negative
couple of mt texts didn't arrive here ,Neutral
"decided to rejoin aerobics cos I know I won't exercise if i don't. after paying for it, i only have RM3 left in my bag ",Neutral
@ientje89 aw i'm fine too thanks! yeah i miss you so much on the MFC  but hope we can talk later on today  kisses :huglove:,Positive
@hartym looks interesting but lot of 500 errors on the documentation website ,Negative
@Kal_Penn You were my favorite.  You did an excellent job.,Positive
This breaks my heart Navy Seal Marcus Luttrell's doggy  http://www.rightpundits.com/?p=3669 I am filled with rage.,Negative
argh ive eaton so so much today ,Neutral
zurich does not have smelly bags anymore ,Neutral
"in the university, in the classroom, on the computer... shit my day is boring ",Negative
I want to get back in bed ,Positive
@fanofbsb4ever Sorry you missed it ,Negative
Worst burn of my life! so sick ,Negative
"@PriscillaCruz So funny because I watched 'Only The Strong' today, what are the chances? I miss Capoeira   Zoom Zoom!",Positive
It's official! I'm going to have an educational summer. Owh God. Bless me ,Positive
@avisionofbeauty your phone doesn't like it  sorry,Negative
too much to do  not enough motivation ,Negative
@missoliviaa nooo brat. to the west coast hahaa quite making me sad ,Negative
"oh everyone is going to sleep, how much i wish i could  its only 4.45pm, and im @ work!",Positive
"One thing I hate about dozing off in lects, I wake up to a sheaf of wet and badly smudged notes. ",Negative
Sleepy head.. chances of actually sleeping? Slim to FUCKING NONE! ,Positive
Where has all my money gone?! ,Neutral
Now I'm down to 10% battery! ,Neutral
@KristenjStewart just watched the trailer for adventureland on itunes looks so funny!! pity i don't think we get it in Australia ,Positive
"I'm so tired, have to get up and go in to school during holidays for the 3rd time  xxx",Negative
"OMG, more than 360 people is the death toll in Italy ",Negative
@ThisismyiQ layin down...i dont feel well ,Negative
@SCC_Skwerl Aww how depressing! ,Negative
@TheBlondeTheory  ditch in another parish. Some really sick people in this world. ,Negative
"Yo jimo i cant talk on aim anymore, its glitching  ill cya later and i hope u see this",Neutral
I just gave an msu fan a car rental discount.. He looked so sad I just couldn't turn him away.. ,Negative
"ordered a pita...it NEVR came! why they say the fax machine broke and the driver left, what about my empty BELLY ",Negative
Britney was fucking amazing!! After we just went back to the hotel...I hate travelling with cheapos. ,Positive
"@powerpoole some people try to be tricky, some stop using twitter at all  i guess it's as good as it gets! i had to try.",Positive
@dra6on now I am sad cos u r sad ,Negative
@gotobekiddingme I tried.....and failed ,Negative
@ditty003 I'm looking at mine And I can't even get to it... School work sucks...atleast when u get home that's it  LOL,Positive
AC/DC rocked last night. Back to reality today.  70000 people without homes and &gt;150 dead in Italy ,Negative
"@heatherlibby  Oh well, she seems like trouble. Christian Slater is trying to kill her at the moment.",Negative
Hoping I can get some decent sleep tonight since I didn't get any worth shittt last night  Goodnight World! XOXO,Positive
i want diana F+. it looks great... ,Positive
i've got one of those spots that doesn't really show yet but hurts like hell and will no doubt be a beauty tomorrow ,Negative
@ekim1406 hehehe too bad they were separated ,Negative
Babe aint callin ,Neutral
"@Hetty4Christ heh, yeah, I shakily conquered the ladder. Pointless job, tho. We're too far away to receive digital signal w/ antenna. ",Neutral
"Good morning, hope everyone is feeling better than me.... this cold has really got hold now ",Positive
"Train rammed, fellow commuters vile . Special derision reserved for the man who appeared out of nowhere to claim 'his' seat. Luggage rack ",Negative
@Kal_Penn I will miss you on the show... you were awesome!  What a shock!!  ,Positive
talking to a boy  hating work though ,Negative
someone keep me up....im at work ,Neutral
@LarrissaR please don't leave. stay for grant's bday ,Positive
@DanielCalderonL yeaah I hate that! ,Negative
@pmelt the only bad thing about aids is you can only catch it once  Id want to inflict more pain on the deadshits of this world.,Negative
@childhoodflames whats wrong! ,Negative
"Off to bed now, sick n can't sleep but will try w/ help of meds :s ",Negative
Blip.fm is down...I'm going back to normal tweeting for a while. ,Neutral
@Lilylauren I get sad when ppl shave their moustaches  I don't know if I'd cry about it tho,Negative
Oh my gosh... Oh my gosh...Susy is going to kill me with her remedy. ,Negative
Finally going to sleep and waking up early to study ,Neutral
I miss my friends from elementary and middle school ,Positive
"@cyantificNHS Balls  Although without the tunes, it's just a holiday then ;-)",Positive
chick corea was tonight...and I missed it  ...now she sobs,Negative
I'm going to love this season of the hills... I can tell!  Spartans sucked.    Goodnight!!,Positive
needs to study for quant and do legal process assessment for 2moro ,Positive
"@itsangie i canceled it, with plane tickets, hotel stay and tickets.. it was close to $400 if we eat cheaply.   man i soooo want to see O!",Positive
"@polaroidskyline that sounds fair horrible.  i was going to repeat myself, but i guess the text I just sent you would do it better. whee.",Positive
"@bivancamp aw, that suuuucks  Sorry dear!",Positive
@NeYawn Yeah! Interview... Don't know even when it is... ,Positive
"@LFTA So ur just gonna delete me like that...Y do I feel like &quot;Tom Cruise&quot; on Jerry Maguire when he got fired right now, yo.  LOL!",Positive
had the worst dream abt some turd face i used to date... ugh. it was awful. ,Negative
@shresthayash  ouch I can just imagine a toothpic in the eye or something ,Neutral
uh...I feel so lonely  I wish my BFFWIAMC (Best Friend Forever Who Is Also My Cousin) has a Twitter,Positive
Why do people keep following me and then randomly stop?  It makes me sad!,Negative
Still feeling bleh... Spew burps and all ,Positive
hot deadline... ,Neutral
"has to return the shirt she bought from Topshop bc she has $50 in her bank account that has to last her the rest of the month, life sucks ",Negative
woke up at 6am  far too early...more coffee then,Neutral
is tooooooooo cold. ,Neutral
Why is it raining tomorrow night after it was sooo nice today?!  Guess I should be thankful that I was able to enjoy it at least.,Positive
Michael Crichton ,Neutral
CURSE MY SLOW INTERNET. I miss YouTube ,Negative
feels a headache coming on! ,Neutral
@gordonchiu You're one letter alway!    Koreans don't use &quot;X&quot; so there's no hope for me. ,Positive
Working on the Holy Week ,Neutral
@marnieblaze haha nope. i guess nothing is original these days ,Positive
"Lots of revision to do tonight too for my final assessments. More assessments today as well, 90% pass mark is harsh ",Negative
all thats stapling chipped my nails ,Neutral
 is cold,Neutral
@PaulTeeter we passed by the border ,Neutral
"Chewie update. OCD in left legs fixed, but possible OCD in Right leg as well, and worse still hip dysplasia in both hips  Not good...",Negative
Just got back from the hospital. BF's nephew might have meningitis ,Neutral
Chi?u nay h?p chu?n b? t? ch?c m?y s? ki?n ? tr??ng ! Bao nhi�u vi?c ,Neutral
is coldd ,Neutral
Please watch this vid and tell me if you are not moved  http://www.youtube.com/watch?v=EUJSME0TORw,Positive
Boo another day at work  but only 3 to go then 3 days off ; ),Neutral
driving to schiphol. apperantly I am not the only one. Stuck around aalsmeer ,Negative
Not anymore  how does Daisy manage to take up 75% of the bed?,Neutral
@garretjiroux do u write back on twitter? i miss ya garee...  x,Negative
"Getting changed in the hopes that, that means we can go to the store now!  Poor cat is out of food...oops. ",Negative
I'm in pain ,Negative
"@nicolerichie: Haha. Yeah, they were that band from MMC! I used to have a CD, but I lost it. ",Negative
i miss my bcd friends ,Positive
@oliyoung But that requires assembly! Assembly is completely overrated tonight. This is harder than I thought ,Neutral
On a diet.... Woke up 2day Hungry ,Neutral
@JBeauty oooh *heads high killin 'em wit da no* lol didn't think so..  but u don't really know me yet I'm a good tucker inner haha,Positive
I hate cooking dinner ,Negative
@maikeru76 you aren't connected with me back...so I can't DM you...  ,Neutral
My compassion to the people in italy! My mother is calling with our relatives in Italy right now  ,Positive
"@riskyrevenge Wait, what? Sick? ",Negative
@oishiieats did they play polite dance song?? only my fav. please dont say they did. or course they did.   damn me!,Positive
I need to find a battery for an Elinchrom Ranger.  Nobody in Canada has any in stock ,Neutral
So now it's just a wait &amp; see game. I fall asleep &amp; it might or might not be there when I wake. ,Neutral
Off to London today ,Neutral
Smile like you mean it. Wow. This song brings back memories. Still can't sleep. ,Positive
@muzocan we should talk about this australia issue.. ,Neutral
"I was woken up from a deep sleep just to be let go for Mad Max.  Not happy. And now, i can not sleep! ",Negative
"Sorry, was getting ready.  Going to leave at 8am today.",Positive
Got a speeding ticket ,Neutral
@kristensaywhaa he is an ass. .. .. .. hM ..  did you watch the first episodeee? i freakin missed it ,Negative
@scarletjac but not good for me close to my current challenge ,Negative
"But the international font looks ugly. Going back to original font. After all, who'd tweet in malayalam ",Negative
doing some business studies revision ,Neutral
misses David actually ,Negative
http://community.livejournal.com/ohnotheydidnt/33907252.html How freakin cool is that? Why doesnt shit like that happen to me? ,Positive
I can't believe it. I got my answer and didn't have to ask the question.  This feels awful.,Negative
Won't be tweeting much tonight   Maybe all tweets will come out in form of Tweet vomit later at about 1 in the morning.,Neutral
I think I need to get laid. Sad revolution I had earlier rofl  http://twurl.nl/ibz2wb,Positive
Txt-Chat with Jake. Lmfao. Its Frikkin Awesome! I Miss This Effin Boy So Much.  Awww. Hoping You Guys Would Come Back Here Na! ) xxxx,Positive
@ItsDawns Thank @rmilana don't like it  hehe but it's very easy and well I'm just a Danish Dude,Positive
"@Craftysince1990 Lol, that's sweet! I bought tickets last year &amp;&amp; my PartnerInCrime flaked so I didn't end up going  but this, FOR SURE!",Positive
@razzberrie wha so now its 4GB! yay! haha no more laggy computers! but my mba cannot upgrade ,Positive
@defsound aawwwww i know what u mean. iv never been that girl with a sense of humor ,Positive
@zaibatsu ME...I'm up.  ,Neutral
was super lucky to get a seat on the train. We pay �40 for this 25 min journey. ,Positive
@Coyoteontherun Bet I-  Oh wait Mac?  No prolly not. ,Negative
"My navel piercing tore a bit when I was forcing my dog into the bed of my truck.  MY FAULT, I know.    It looks to be healing.  Yay!",Negative
"wow! i got sick out of nowhere  and now i cant think straight....and mtv hasnt posted the hills online, wtf!",Negative
Just woke up. Apples gig was ace last night. Seriously tired now. Work begins in one hour... ,Negative
"Today's episode of &quot;House&quot; (Episode, Simple Explanation) was so heartbreaking. ",Negative
I'm frankly disappointed and offended that there is a blogger writing AGAINST FU Penguin ,Negative
@tpaw wooo yeah! Sorry to hear you missed out on Origin tickets ,Negative
Gooood mooorning world. I had a dream last night I fucked my knee again  Def need to kick start my strengthening ready for Bournemouth 7s!,Positive
I need some selsun blue...pretty sure i have a small spot of haole rot ,Positive
I think im coming down with something. ,Neutral
re newing my twitter ,Neutral
@lindseyviloria about that... I am gonna be in mexico ,Neutral
@sweetlyaroundme ps I woke up this morning and I cant access any websites!  or I havent cleaned my computer completely,Neutral
"Hates hearing his girl being ill, nothing I can do though ",Negative
"@SteveDiamond I know they have trouble, but I never heard a thing. I had MANY recommendations from MrTweet. ",Negative
@ScarlettDane no  mary &amp; i were going to go dress shopping tomorrow.,Negative
@NoelClarke Good morning you. Stop ignoring me just cos i said i like *cough* Take That  Am very sad now..boo hoo!,Negative
Feeling light headed and gross ,Negative
thanks chaffie... thousand apologies. please fogive me 4 i have sinned. ,Positive
"@ItsChelseaStaub Goodnight, Chels. And sorry about the major layout-delay.  &lt;3",Negative
"@Coll_aka_Aubrey Oh, you were joking? Well now I'm crushed! I was totally gonna stand in the middle of a field and wave my arms! ",Positive
Is waitin for th break down service as somethin fallen of my car. I've got my hot water bottle with me. Feel such a twat ,Negative
@HolyJaw all in the middle if the night. I've committed myself to installing windows 7 with boot camp but I'm already having issues ,Positive
"@RedGray Ah man- so sad, his cousin committed suicide yest and she was 8 months pregnant  - can you imagine... we been crying non stop... ",Negative
damn its down. ,Negative
Megan equals Murder. ,Negative
poor Sandra Cantu. My heart goes out to her family and friends. Rest in Peace Little One! ,Positive
morning all. v. groggy this morning.... ,Neutral
I feel soooo bad for my doglet!  She is not understanding why her mouth is so sore!  Poor little thing ,Negative
Why oh why do I watch videos of people dying RIGHT BEFORE I'm going to sleep? ,Neutral
why luke worral doesnt have twitter? ,Neutral
@Dynoisthename haha you better watch those two. They might actually kill each other. ,Positive
twitter is a lot less interesting since cute people suddenly stopped flirting with me ,Positive
My stomach is feeling satisfied now......been starving for 2 hours. ,Positive
is very disappointed. ,Negative
"I nearly spoiled myself for House, did just a teeny bit, saw a name, but then it went away via link.  I won't be terribly surprised now.  ",Positive
@marlonjenglish ,Neutral
@kittCAT8 ya i was basically screwed. just rewrote it  i will seriously go with you if you want! i dont know anyone else who wants to goo!,Negative
@LRon_Jaii LMAOOO mornin baybeeee. Don't lie?! A peaceful journey?! My train is straight boring  not even a hooded teef in sight.,Negative
I wish I had someone to talk to. I'm so upset.  no one likes me anyway,Negative
@Willie_Day26 hommmmeeworrkkk  boooo hope you fellas had a good night,Positive
@Japh I wish I'd known that there were more tickets earlier. Rang this arvo - one left but Amy would end up sitting alone. Sigh  Too Hard.,Negative
"woke up to find this cold/flu/illness-type thing isn't going without a fight and, apparently, beats you up in your sleep. Sorry, keynote ",Negative
"WHF?? T:SCC killed Derek Reese (Brian Austin Green), I actually liked that character! ",Negative
equinux.com just crashed safari tks you! ,Neutral
&quot;fire of anatolia&quot; is fired... costumes are destroyed... it's so poor situation ,Negative
"8:00am typical British morning. Cold, wet, road full of miserable angry drivers..... good times! I need a holiday ",Negative
"really now, time for sleep.  dreaming of my city, more tattoos, and other great things.  waking up to early morning sociology ",Positive
"Just bought Sour gummi worms, peach gummi O's, and cheeto puffs... AND a 44 ounce soda... I'm such a fat ass  Had a huge dinner too.",Negative
"@Tubeyornot2B you and me both. I thought I found a tweetheart, but I guess not.  so the search continues.. :-\",Negative
"@Pixie_Anna scroll back a few hours, you missed a whole lotta Jon ",Negative
@CyFyre no   finished two years then had twinzzzzzzzzzzz,Negative
Missed #24 and #the hills  now I have to catch up tomor.. But I have Real Housewives ugh I need to figure out my priorities,Negative
"Oh, and it's officially my birthday. Happy 23rd birthday to me! *looks around* Yet no one is here to wish it to me  Erik's in bed.",Positive
Needs the motivation to get dressed and go to work I hate training ,Negative
Didn't make it by here today.   They are saying we will have snow tomorrow. WTF?  It is Tennessee.  It doesn't even snow here in winter.,Negative
I just had two people stop following me ,Negative
Tried to fix hubby's computer. It didn't come with disks and now windows key won't work.  might have to buy it (like we can afford that),Neutral
@V3events  no way!?  Ur at a game right now!? ,Negative
It seems that Twitter lost some updates yesterday - again!!  #twitter #fail,Negative
my paronychia hurts ,Negative
http://twitpic.com/2y4vn - remember these days? neither do i. siiiiike. i miss my old body  someday soon u shall be miiiiine.,Negative
back @ work. Had a bad start of day almost falling down the stairs  Not enjoying work yet...,Negative
i &lt;3 CIGS..RIP ,Neutral
"i'm up, so much paperwork to do today. `n i'm kinda getting sick  not fun",Negative
Just did 5km on the tready and want to die... I'm not built for running... ,Positive
@un1xnut if only I didn't work an evening/night job ,Neutral
Need's help with this anxiety crap ,Negative
@CHASEBOOGIE lol dont ask i was being nice given a ride shit started bar b cueing on the freeway  lmao i been had mine ready,Positive
"@azraeel Got home after 10 in the end, back in for a 9am start aswell ",Neutral
throat is so raw she cannot sleep....  ,Neutral
// :T I just asked my friend what piglet was (winnie the pooh.) ....seriously guys what is it ,Positive
i burnt my tongue on miso soup today ,Neutral
had the worst dream abt some turd face ex.. ugh. it was awful. ,Negative
Longing to own a sewing machine! My Birthday is too far away! ,Negative
I havent slept a wink... Severe Insomnia... Arghhhh... Why!!! ,Positive
@TerryFree Lol byeee time to go ,Positive
"@Skunkie Sorry, I guess sarcasm is hard to show in 130 characters.  ",Negative
"just microwaved a kashi chicken and spinach thing, and put in the Milk dvd. anyone seen it? i bet it's good. i still havent seen slumdog ",Positive
Just got up i have to watch my lil' bro's ... Mom is at work ,Neutral
